epoch,train_loss,val_loss,train_mae,train_rmse,val_mae,val_rmse,val_monitor_score,lr,train_euc_mean,val_euc_mean,train_rmse_3d,val_rmse_3d,train_dim0_mae,train_dim0_rmse,train_dim0_bias,train_dim1_mae,train_dim1_rmse,train_dim1_bias,train_dim2_mae,train_dim2_rmse,train_dim2_bias,val_dim0_mae,val_dim0_rmse,val_dim0_bias,val_dim1_mae,val_dim1_rmse,val_dim1_bias,val_dim2_mae,val_dim2_rmse,val_dim2_bias
1,0.40452468395233154,0.39748451486229897,113.91708374023438,147.80068002423062,110.43502044677734,143.3675414908305,232.72088012695312,0.0006,229.4923858642578,222.87054443359375,255.9983367919922,248.3199005126953,159.60418701171875,204.83486938476562,-5.5356550216674805,90.49210357666016,108.6214599609375,3.4233996868133545,91.65499877929688,108.53204345703125,-2.6799426078796387,151.4329071044922,196.3231658935547,42.700931549072266,89.89634704589844,107.64482879638672,-15.455222129821777,89.97584533691406,107.38983917236328,6.5314812660217285
2,0.3873501072327296,0.39098265022039413,110.8110580444336,143.51987694436266,108.6905288696289,140.98463735013826,228.05088043212888,0.0006,223.0642852783203,219.77317810058594,248.5836944580078,244.19256591796875,154.21031188964844,198.13153076171875,2.8357791900634766,87.00827026367188,104.01457214355469,-2.0006229877471924,91.21477508544922,108.25305938720703,5.115690231323242,147.80648803710938,190.38694763183594,-14.692486763000488,88.02873992919922,106.471435546875,-5.8147077560424805,90.23640441894531,109.75724029541016,-27.415348052978516
3,0.3823872423834271,0.3824916481971741,109.61011505126953,143.36706467796222,107.35543060302734,139.15595876345,225.18584747314452,0.0006,222.0314483642578,216.95462036132812,248.31903076171875,241.02516174316406,153.40167236328125,198.4441375732422,-11.141090393066406,85.98699951171875,104.46625518798828,-1.1581755876541138,89.44174194335938,106.6258316040039,-3.5216574668884277,146.23220825195312,188.22744750976562,16.965723037719727,87.66139221191406,106.40351867675781,-2.6897099018096924,88.1727294921875,106.49807739257812,-10.391695022583008
4,0.3845377763112386,0.3821319341659546,109.206787109375,141.88748568407996,107.8433609008789,139.4916062102842,225.957502746582,0.0006,220.45474243164062,217.44485473632812,245.75636291503906,241.60655212402344,151.08819580078125,194.96157836914062,-6.617273807525635,87.4342041015625,105.36842346191406,-1.6491581201553345,89.09800720214844,106.224609375,1.0396301746368408,147.79026794433594,189.44305419921875,2.3412017822265625,87.9481430053711,105.79389190673828,-11.68548583984375,87.79167938232422,106.26715087890625,-1.023659586906433
5,0.38964476850297713,0.38048889487981796,109.44784545898438,142.31023548922965,107.1458511352539,139.19647338609192,225.17760772705077,0.0006,221.11643981933594,216.65052795410156,246.48854064941406,241.0953369140625,152.00839233398438,195.47479248046875,4.901659965515137,86.0474853515625,104.61958312988281,-2.3556134700775146,90.2876968383789,107.70771026611328,0.30284422636032104,146.6360626220703,188.03623962402344,14.990727424621582,86.12303924560547,105.60777282714844,2.4158177375793457,88.678466796875,107.77912902832031,-19.058244705200195
6,0.3775649219751358,0.3836941793560982,108.6430435180664,141.7875556510514,107.59954071044922,138.86801709492002,224.4195327758789,0.0006,219.6610107421875,217.49021911621094,245.58326721191406,240.52647399902344,153.04502868652344,196.0634765625,-3.9230031967163086,85.03633880615234,103.66962432861328,8.751724243164062,87.8477783203125,105.46498107910156,-3.3342983722686768,144.84469604492188,186.836669921875,-10.01453685760498,90.12199401855469,107.85404968261719,-20.317018508911133,87.8319320678711,106.36045837402344,6.527842044830322
7,0.37269457512431675,0.37035926803946495,106.72090911865234,140.3472395747419,105.06656646728516,136.64774942118513,220.90356140136717,0.0006,216.2138214111328,212.22476196289062,243.08853149414062,236.68081665039062,149.00076293945312,194.65614318847656,-7.549543857574463,82.98316192626953,101.01405334472656,-1.7644330263137817,88.17876434326172,104.867431640625,-4.300199508666992,142.84898376464844,184.0899658203125,14.050653457641602,85.33226776123047,104.416259765625,-3.056154489517212,87.01844024658203,105.95254516601562,8.661046981811523
8,0.3691788978046841,0.37554512917995453,106.46428680419922,140.25302887772156,106.2183609008789,138.5798153930615,224.532991027832,0.0006,215.73902893066406,215.07765197753906,242.92532348632812,240.0272979736328,148.7166748046875,193.82525634765625,-4.259286880493164,84.16455841064453,103.31327056884766,1.1016632318496704,86.51153564453125,103.7826919555664,1.3072901964187622,146.30067443847656,188.37960815429688,23.805950164794922,85.33113861083984,104.59672546386719,-5.512758731842041,87.02322387695312,105.76268768310547,-5.827674388885498
9,0.37128254108958775,0.3689334839582443,107.18486785888672,142.32150965112407,104.50262451171875,136.27716902282276,220.1758880615234,0.0006,218.70640563964844,211.33602905273438,246.50807189941406,236.03900146484375,151.03562927246094,198.26100158691406,-6.4097795486450195,82.87727355957031,101.91850280761719,0.23847873508930206,87.64180755615234,105.22084045410156,-1.0522847175598145,141.3102569580078,183.16195678710938,9.043075561523438,84.64115905761719,104.00694274902344,4.695923805236816,87.55648040771484,106.53012084960938,-10.379583358764648
10,0.36372143030166626,0.37373895943164825,105.6406021118164,137.6150442016606,105.3018569946289,137.51112881099843,222.31412811279296,0.0006,212.6707305908203,213.1321563720703,238.3562469482422,238.17628479003906,146.00599670410156,188.9798583984375,-4.777621269226074,82.48013305664062,100.23333740234375,-1.8177852630615234,88.43569946289062,105.13606262207031,-1.697820782661438,142.1735382080078,185.30242919921875,18.512882232666016,85.63180541992188,104.46192169189453,-7.579485893249512,88.10022735595703,107.13849639892578,-5.895371913909912
11,0.3607812209261788,0.3806637190282345,104.09471893310547,136.6888360131324,106.1777114868164,139.8059969989664,226.31784820556638,0.0006,210.49285888671875,216.26913452148438,236.75204467773438,242.15109252929688,141.79542541503906,186.8568572998047,-8.509203910827637,83.41893005371094,100.93871307373047,0.1914387345314026,87.0697250366211,104.62989807128906,-1.1018463373184204,145.29476928710938,189.3736114501953,45.39641189575195,84.89985656738281,104.8777084350586,-5.054121017456055,88.3385009765625,108.5147705078125,19.184545516967773
12,0.36212148434585995,0.37946778908371925,104.4659423828125,137.31481848292995,106.59640502929688,137.38503005922806,221.3936584472656,0.0006,211.68588256835938,214.80596923828125,237.8362274169922,237.9578094482422,143.8706817626953,187.27084350585938,-4.183391094207764,81.66586303710938,100.48052215576172,3.934335231781006,87.8614273071289,106.7677993774414,4.138952732086182,140.90982055664062,182.7439727783203,11.851102828979492,90.2199935913086,107.92539978027344,-30.042673110961914,88.659423828125,107.613525390625,-13.003662109375
13,0.3547426246934467,0.37030185014009476,103.01026153564453,136.06548572746138,104.87859344482422,136.62782333542097,220.57447509765626,0.0006,209.06512451171875,211.81112670898438,235.67227172851562,236.64634704589844,140.8663787841797,186.6995086669922,3.559605598449707,81.05992126464844,100.03530883789062,-1.57244074344635,87.1044921875,103.33271026611328,1.7551380395889282,140.12881469726562,183.0734405517578,22.61553955078125,85.85871124267578,104.3019027709961,-16.433820724487305,88.64820861816406,107.73452758789062,-15.594616889953613
14,0.35913481480545467,0.38261887803673744,104.23611450195312,136.98334039902443,106.6573257446289,138.0223671298424,222.33616943359374,0.0003,211.4005126953125,215.4193878173828,237.26211547851562,239.06173706054688,144.281494140625,187.0228271484375,-6.653373718261719,80.74092864990234,100.50545501708984,3.3293581008911133,87.6859130859375,105.8982162475586,-1.3341822624206543,140.73892211914062,183.30984497070312,12.533793449401855,88.28162384033203,105.95087432861328,-23.133634567260742,90.9513168334961,111.00643920898438,-31.73729133605957
