epoch,train_loss,val_loss,train_mae,train_rmse,val_mae,val_rmse,val_monitor_score,lr,train_euc_mean,val_euc_mean,train_rmse_3d,val_rmse_3d,train_dim0_mae,train_dim0_rmse,train_dim0_bias,train_dim1_mae,train_dim1_rmse,train_dim1_bias,train_dim2_mae,train_dim2_rmse,train_dim2_bias,val_dim0_mae,val_dim0_rmse,val_dim0_bias,val_dim1_mae,val_dim1_rmse,val_dim1_bias,val_dim2_mae,val_dim2_rmse,val_dim2_bias
1,0.33726805945237476,0.3694376237690449,100.10134887695312,131.94433159717397,104.2440185546875,135.1419537236679,217.5269821166992,0.00012,201.80003356933594,210.93833923339844,228.53431701660156,234.0727081298828,138.02835083007812,179.91749572753906,-6.516525745391846,78.37974548339844,97.42264556884766,-0.4194841682910919,83.89598083496094,101.81578826904297,1.1891027688980103,136.83505249023438,178.9202880859375,21.839189529418945,86.46295928955078,105.0276107788086,-21.39717674255371,89.43400573730469,108.38248443603516,-12.107256889343262
2,0.32841774655712974,0.38000835850834846,98.46984100341797,129.65233710051277,106.84712982177734,139.7002860479355,226.1467544555664,0.00012,198.8169708251953,216.7526092529297,224.564453125,241.96798706054688,134.21109008789062,176.26205444335938,-6.976534366607666,77.77851867675781,95.34791564941406,4.056640625,83.41990661621094,101.33931732177734,-1.3627477884292603,145.20468139648438,189.2305450439453,60.198673248291016,86.29000854492188,105.22061920166016,-20.538820266723633,89.04670715332031,108.0228042602539,-10.98739242553711
3,0.32018644611040753,0.3606683760881424,96.69470977783203,127.75390236823492,102.3782958984375,132.96728480391332,213.6493911743164,0.00012,195.77357482910156,207.2773895263672,221.2762451171875,230.3061065673828,131.99330139160156,173.9475555419922,-0.18139560520648956,75.81876373291016,93.90800476074219,-6.8205766677856445,82.27215576171875,99.43195343017578,-0.6511616110801697,133.40782165527344,174.78372192382812,18.996055603027344,84.54253387451172,104.00470733642578,-11.59970760345459,89.18451690673828,108.0489501953125,-6.3422532081604
4,0.31331799344884026,0.39303652197122574,95.2948226928711,126.26897676067348,108.88922882080078,141.89990144904965,229.15267944335938,0.00012,193.12210083007812,220.41006469726562,218.7042694091797,245.77783203125,129.92352294921875,171.24960327148438,-4.859858989715576,74.4324951171875,92.84883880615234,7.077718734741211,81.52847290039062,99.41939544677734,0.976640522480011,146.07330322265625,190.36065673828125,65.56626892089844,89.98694610595703,109.18699645996094,-34.89473342895508,90.60746765136719,110.66961669921875,-21.412784576416016
5,0.3058319207694795,0.3740505687892437,94.2181396484375,124.47659167490087,104.8686294555664,137.79977974175068,222.22781982421873,0.00012,189.83970642089844,213.3083953857422,215.5997772216797,238.6761932373047,126.96177673339844,167.99478149414062,-2.649991273880005,74.51485443115234,92.83729553222656,-3.7660863399505615,81.17778015136719,98.19497680664062,3.7868542671203613,139.5426788330078,183.84828186035156,39.6535758972168,85.51533508300781,105.43058776855469,-15.74687671661377,89.54793548583984,109.77486419677734,-16.107521057128906
6,0.3052973250548045,0.3808722496032715,93.5191650390625,123.84844569069085,106.2840576171875,139.73931505440765,225.58890838623046,0.00012,188.5913543701172,216.0862274169922,214.5117950439453,242.03558349609375,127.11319732666016,166.69895935058594,-4.755614280700684,72.55722045898438,91.52058410644531,-1.9253019094467163,80.88712310791016,99.2509536743164,-1.9349092245101929,143.04505920410156,187.2133331298828,52.55808639526367,86.02978515625,107.01643371582031,-22.392772674560547,89.77734375,109.90849304199219,-14.353071212768555
7,0.28498706138796276,0.37315379455685616,90.3071060180664,120.8101073224008,104.3479995727539,137.68075477122792,221.84356689453125,0.00012,183.19607543945312,212.57955932617188,209.24925231933594,238.4700469970703,122.16239166259766,163.38552856445312,-3.0042314529418945,70.71011352539062,88.87621307373047,-6.776827812194824,78.04878234863281,95.87199401855469,1.744016408920288,138.50523376464844,183.04844665527344,39.490718841552734,85.72457885742188,106.37943267822266,-15.244512557983398,88.814208984375,109.74811553955078,-11.877187728881836
8,0.28183885167042416,0.39414846152067184,88.21178436279297,117.64417268691,107.64047241210938,141.42181198899272,227.492219543457,6e-05,178.2000732421875,218.7969512939453,203.76568603515625,244.9497833251953,116.61538696289062,156.7360076904297,-3.9670252799987793,70.15838623046875,88.60711669921875,-1.1653424501419067,77.86157989501953,95.40994262695312,-1.5565001964569092,141.2789764404297,186.75790405273438,53.76034164428711,91.4779281616211,112.44937133789062,-35.15914535522461,90.16458892822266,111.70057678222656,-17.57843780517578
9,0.267832117776076,0.38035330548882484,86.8742904663086,115.11395508907684,105.71826934814453,138.53206420356264,222.62946624755858,6e-05,175.63816833496094,214.11856079101562,199.3832550048828,239.94456481933594,116.76416778564453,153.3351287841797,-4.571205139160156,67.58003234863281,85.41563415527344,1.814423680305481,76.27867126464844,94.58428955078125,9.826725006103516,138.76870727539062,182.22756958007812,26.9215145111084,88.12283325195312,108.69112396240234,-23.400104522705078,90.26331329345703,112.0390396118164,-17.303728103637695
10,0.2639545318153169,0.38645943254232407,85.37972259521484,113.69882090417649,106.1115493774414,138.83837979148632,222.3239593505859,6e-05,173.19052124023438,214.0935516357422,196.9321746826172,240.47511291503906,114.0037841796875,151.51705932617188,10.195744514465332,66.55716705322266,84.41255950927734,-0.41541802883148193,75.57820129394531,93.2704849243164,-3.713693618774414,135.18014526367188,179.9712677001953,21.01708221435547,91.97483825683594,112.81201171875,-34.93473434448242,91.17975616455078,112.74781036376953,-17.133056640625
